Job Title,Salary Estimate,Job Description,Rating,Company Name,Division,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,CA$55K - CA$65K (Glassdoor est.),"Charger Logistics is a world class asset-based carrier. We specialize in delivering assets, on time and on budget. With the diverse fleet of equipment, we can handle a range of freight, including dedicated loads, specialized hauls, temperature-controlled goods and HAZMAT cargo. We invest our time and support the employees to provide them with the room to learn and grow their expertise and work their way up. We are entrepreneurial-minded organization that welcomes and support individual idea and strategies.
We are looking for a Data Scientist who uses a combination of techniques from statistics, machine learning, computer science and data visualization to produce advanced predictive analytic solutions that determine patterns and relationships in large volumes of data to predict future behaviors, events and outcomes. The candidate will work cross-functionally with technical and non-technical teams to take on a variety of tasks including but not limited to mining data, building models, building dashboards, and conducting detailed analysis. The ideal candidate will have a analytical mindset, deep understanding of databases, visualization, and modeling techniques, and the ability to thrive in a dynamic, fast-paced environment delivering against tight deadlines.",3.5,"Charger Logistics Inc
3.5",,Brampton,1001 to 5000 Employees,2005,Company - Private,Taxi & Car Services,Transportation & Logistics,$5 to $25 million (USD)
Data Scientist,CA$74K - CA$90K (Glassdoor est.),"Charger Logistics is a world class asset-based carrier. We specialize in delivering assets, on time and on budget. With the diverse fleet of equipment, we can handle a range of freight, including dedicated loads, specialized hauls, temperature-controlled goods and HAZMAT cargo. We invest our time and support the employees to provide them with the room to learn and grow their expertise and work their way up. We are entrepreneurial-minded organization that welcomes and support individual idea and strategies.
We are looking for a Data Scientist who uses a combination of techniques from statistics, machine learning, computer science and data visualization to produce advanced predictive analytic solutions that determine patterns and relationships in large volumes of data to predict future behaviors, events and outcomes. The candidate will work cross-functionally with technical and non-technical teams to take on a variety of tasks including but not limited to mining data, building models, building dashboards, and conducting detailed analysis. The ideal candidate will have a analytical mindset, deep understanding of databases, visualization, and modeling techniques, and the ability to thrive in a dynamic, fast-paced environment delivering against tight deadlines.",3.5,"Charger Logistics Inc
3.5",,Brampton,1001 to 5000 Employees,2005,Company - Private,Taxi & Car Services,Transportation & Logistics,$5 to $25 million (USD)
Machine Learning Intern (Summer 2023) - Remote,CA$11K (Employer est.),"Role Description As a Dropbox intern, you are part of a top-notch learning experience with engineers from all backgrounds.
You ll work side-by-side with a dedicated, experienced engineer as your mentor and have ownership of a high-impact project.
Our goal is to create a robust and impactful learning experience.
You can expect to learn how to collaborate with full-timers across the engineering, product, and design teams and receive regular and effective feedback on your work.
We ll also help you connect with fellow interns, establish mentors, and build the foundation of a strong professional network.
We will work with you to accommodate your school end and start dates culminating in a minimum of a 12-week long internship.
As a member of Dropbox s Machine Learning group, you develop high impact solutions that affect millions of people and data from hundreds of millions of users.
This team delivers solutions using the full range of ML techniques from computer vision to supervised learning to deep learning to online learning.
Projects include developing algorithms that run on mobile devices or ones requiring large clusters on our infrastructure.
Currently pursuing a PhD in Computer Science or related technical field involving coding with research and/or internship experience focusing on machine learning Graduating in Fall 2023 or Spring/Summer 2024/2025 Experience writing or shipping ML software as part of coursework, personal projects, internships, competitions or research Passion for learning, solving problems, and challenging the status quo Total Rewards For candidates hired in Colorado, the expected salary/On-Target Earnings (OTE) rate for the role is $11,000/month, subject to change.
Salary/OTE is just one component of Dropbox s total rewards package.
Dropbox is committed to investing in the holistic health and wellbeing of all Dropboxers and their families.
Competitive medical, dental and vision coverage Flexible Time Off/Paid Time Off, paid holidays, Company-wide PTO days, Volunteer time off Perks Allowance to be used on what matters most to you, whether that s wellness, learning and development, food & groceries, and much more Additional benefits details are available upon request.
Dropbox is in the process of updating our technology to provide pay ranges in New York City based on the recent amendments to the New York City Human Rights Law (NYCHRL).
If you are based in NYC and have any questions about the pay range for this role, please contact paytransparency@ and provide your name and the job title to which you are interested in applying.",4.6,"Dropbox
4.6",,Toronto,1001 to 5000 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Data Scientist – Revenue Management,CA$84K - CA$96K (Glassdoor est.),"Powered by water... and by people like you

Providing clean electricity to 4 million customers takes a diverse workforce and that’s where you come
in. We need your talent to help us build major projects to meet growing demand. To help our
customers find clean energy solutions for their homes and businesses and to be ready to respond
during storms and outages to keep our system reliable.

Working for BC Hydro is meaningful. And now, the stakes have been raised as we work towards a
solution to climate change while safely providing clean, affordable electricity to our customers.

We offer a healthy work life balance, training opportunities and career progression. We're proud to be
ranked as one of B.C.'s Top Employers and one of Canada's Best Diversity Employers. Join us as we
build an even cleaner B.C.",,"BC Hydro
3.8",,Vancouver,1001 to 5000 Employees,Self-employed,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,
Data Scientist,CA$85K - CA$120K (Glassdoor est.),"Referred applicants should not apply directly to this role.
All referred applicants must first be submitted through Workday by a current Loblaw Colleague.
Location:
1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5
At Loblaw, we help millions of Canadians get through their best days, worst days, celebration days, and every day. Through our innovation and quality products, we’re here for our friends, neighbours, family members and colleagues.

We succeed through collaboration and commitment and set a high bar for ourselves and those around us.

We’re looking for adaptable people who are thrilled to join us in our goal of helping Canadians Live Life Well®. Whether you are just starting your career, re-entering the workforce, or looking for a new job, this is where you belong. We promote leaders at every level and support our people to follow their passion.
Full time
Regular",3.6,"Loblaw Companies Limited
3.6",,Brampton,10000+ Employees,Company - Public,Vehicle Dealers,Retail & Wholesale,$10+ billion (USD),
Analytics Data Scientist,CA$65K - CA$100K (Employer est.),"BrainFinance is a leading financial technology company providing responsible and constructive credit solutions to consumers. We are redefining access to credit with our revolutionary technology that uses machine learning and automation capabilities to deliver better, simpler financial services to everyone.
We are looking for a talented, enthusiastic, and results-driven Analytics Data Scientist to join our growing team of data scientists who will be responsible for responding to analytics requests, managing data assets, developing predictive and forecasting analytics solutions in support of the organization’s lending decisions across all aspects of Growth, Marketing, Product, Credit, Operations and Finance.
The ideal candidate should have a strong academic background in data mining and predictive modeling. The candidate should have a great sense of data and ideally would have some relevant experiences in the lending, credit, fraud, banking, and financial services industries. The candidate is an avid and quick learner of new concepts, skills, and technologies, and has a strong ability to conduct research and convert knowledge to solutions.",,Brain Finance,,Montreal,Unknown,Company - Private,Unknown / Non-Applicable,,,
Data Science and Analytics Manager,CA$76K - CA$88K (Glassdoor est.),"Data Science Manager
GALE is a creative media consultancy that brings business insights to brand storytelling and activates it across every channel. With expertise in business strategy, media, CRM, addressable and integrated brand communications, performance marketing, and technology, GALE creates marketing systems and communications that grow businesses. GALE delivers strong outcomes for its partners in automotive, QSR, retail, gaming, entertainment, telecom and more. Founded in 2014, the agency currently has offices in New York, Detroit, Singapore, Toronto, Austin, Los Angeles, London, and Bengaluru.
Some Brands We Work With: Chipotle, Seagate, T-Mobile, NBA, MGM, Allstate, Resorts World Genting, BMO, and Santander.
If you’re driven by a passion to build something great, a desire to innovate, and a commitment to achieve excellence in your craft, GALE is a great place for you.",3.7,"GALE Partners
3.7",,Toronto,501 to 1000 Employees,2014,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
"SENIOR MANAGER, DATA & ARTIFICIAL INTELLIGENCE (AI) (Toronto, Hybrid)",CA$67K - CA$93K (Glassdoor est.),"Location: Pickering, ON, CA, L1W 3J2
Req ID: 40802
BE THE GENERATION to help build a brighter tomorrow.
Every generation has a challenge that defines them. At OPG, we are calling on all innovators, disruptors, thought leaders and change-makers. Join us as we electrify life in one generation and build a sustainable future powered by our electricity, our ideas, and our people.

WHAT YOU'LL BRING

MINIMUM QUALIFICATIONS:
Bachelor’s degree in engineering, data science, advanced analytics, business intelligence, data, artificial intelligence, computer science or business.",4.2,"Ontario Power Generation
4.2",,Pickering,5001 to 10000 Employees,1999,Government,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD)
Machine Learning Engineer,CA$60K - CA$98K (Glassdoor est.),"Charger Logistics is a world class asset-based carrier. We specialize in delivering assets, on time and on budget. With the diverse fleet of equipment, we can handle a range of freight, including dedicated loads, specialized hauls, temperature-controlled goods and HAZMAT cargo.
Charger logistics invests time and support into its employees to provide them with the room to learn and grow their expertise and work their way up. We are entrepreneurial-minded organization that welcomes and support individual idea and strategies. We are currently expanding and looking to add a motivated individual to our team based out of our Brampton office.
Responsibilities:
Collaborate with business partners to develop innovative solutions to meet objectives utilizing cutting edge techniques and tools.",3.5,"Charger Logistics Inc
3.5",,Brampton,1001 to 5000 Employees,2005,Company - Private,Taxi & Car Services,Transportation & Logistics,$5 to $25 million (USD)
Lead Data Scientist (Hybrid),CA$56K - CA$108K (Glassdoor est.),"Job Category:
Property Tax, Software
Opportunity Awaits at Altus Group!
‍Rethink Solutions, an Altus Group Company, is the leading developer of property tax and real estate expense management software. Established in 2001, our team of property tax management experts are dedicated to building software solutions that help owners, occupiers, and managers of real estate portfolios manage their multi-jurisdictional and global property tax processes. Our software is trusted by the world’s best-known corporations and real estate companies. We pride ourselves on delivering intuitive, leading-edge software solutions that translate to measurable impact for our customers.
The opportunity
We are looking for a dynamic Data Science – Team Lead, with Machine Learning / Predictive Analytics experience to join our growing Rethink development team in North York. We are looking for someone who aligns with our vision and goals, and who is excited and motivated to help our market “rethink” the way they manage property taxes.
Our Team Lead will be both an individual contributor and a people manager for our data science team. You will work closely with the rest of our software development teams to build tools focused on getting data and insights into and out of our property tax software, itamlink
. You will have the ability to develop across multiple custom applications and will need to design and implement data models and analytics to extract business intelligence.
Please provide a link to your public github or alternative, as well as a description of an interesting project you have completed on your own.
What’s in it for you
Impact. You want an environment where you can do your job, do it well and know that it’s appreciated - a place without a lot of handholding. You want your work to be seen and used by thousands of users around the country. You want the freedom and the tools to actively contribute new ideas and try new approaches to the development process.
Growth. Altus Group and Rethink is a company with a clear focus on delivering value to our industry. We are moving forward rapidly with modern web solutions and innovative products. You will have the chance to grow on this team or another. The sky’s the limit for how you grow here.
What you will do:",4.0,"Altus Group
4.0",,Toronto,1001 to 5000 Employees,2005,Company - Public,Real Estate,Real Estate,$100 to $500 million (USD)
